nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /home/yw3809/Projects/policy_distillation/src/wandb/run-20250311_160852-3k76eksh
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn5_pd_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/3k76eksh
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.01778
  PROB: 0.7374
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn5
  TEACHER: dqn
  TYPE: PD
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn5_pd_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, PD
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 1. train_acc:  14.1, train_loss:  1.37, data_points:  5.4e+04, total_data_gen_time:  33.6, train_time:  0.000765, data_load_time:  2.55e-07, total_eval_time:  4.08, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 2. train_acc:  14.7, train_loss:  1.24, data_points:  1.08e+05, total_data_gen_time:  33.8, train_time:  0.000579, data_load_time:  2.62e-07, total_eval_time:  3.3, test_score:  44, best_score:  44, current lr:  0.0001, 
Epoch 3. train_acc:  15.8, train_loss:  1.23, data_points:  1.62e+05, total_data_gen_time:  33.4, train_time:  0.000547, data_load_time:  2.68e-07, total_eval_time:  3.44, test_score:  0, best_score:  44, current lr:  0.0001, 
Epoch 4. train_acc:  21.7, train_loss:  1.17, data_points:  2.16e+05, total_data_gen_time:  33.3, train_time:  0.000558, data_load_time:  2.64e-07, total_eval_time:  2.77, test_score:  0, best_score:  44, current lr:  0.0001, 
Epoch 5. train_acc:  24.7, train_loss:  1.13, data_points:  2.7e+05, total_data_gen_time:  33.4, train_time:  0.000549, data_load_time:  2.56e-07, total_eval_time:  3.83, test_score:  176, best_score:  176, current lr:  0.0001, 
Epoch 6. train_acc:  27.6, train_loss:  1.09, data_points:  3.24e+05, total_data_gen_time:  33.3, train_time:  0.000568, data_load_time:  2.68e-07, total_eval_time:  62.3, test_score:  3.17e+03, best_score:  3.17e+03, current lr:  0.0001, 
Epoch 7. train_acc:  29.1, train_loss:  1.07, data_points:  3.78e+05, total_data_gen_time:  33.1, train_time:  0.000561, data_load_time:  2.58e-07, total_eval_time:  38.3, test_score:  1.23e+03, best_score:  3.17e+03, current lr:  0.0001, 
Epoch 8. train_acc:  29.8, train_loss:  1.06, data_points:  4.32e+05, total_data_gen_time:  33.4, train_time:  0.000589, data_load_time:  2.66e-07, total_eval_time:  38.6, test_score:  1.41e+03, best_score:  3.17e+03, current lr:  0.0001, 
Epoch 9. train_acc:  30.6, train_loss:  1.04, data_points:  4.86e+05, total_data_gen_time:  33.2, train_time:  0.000591, data_load_time:  2.69e-07, total_eval_time:  3.33, test_score:  176, best_score:  3.17e+03, current lr:  0.0001, 
Epoch 10. train_acc:  31, train_loss:  1.03, data_points:  5.4e+05, total_data_gen_time:  33.4, train_time:  0.000584, data_load_time:  2.62e-07, total_eval_time:  15.9, test_score:  3.28e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 11. train_acc:  31.6, train_loss:  1.02, data_points:  5.4e+05, total_data_gen_time:  33.5, train_time:  0.000558, data_load_time:  2.64e-07, total_eval_time:  53.7, test_score:  2.31e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 12. train_acc:  32.3, train_loss:  1, data_points:  5.4e+05, total_data_gen_time:  34.2, train_time:  0.0006, data_load_time:  2.72e-07, total_eval_time:  3.72, test_score:  528, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 13. train_acc:  33.1, train_loss:  0.991, data_points:  5.4e+05, total_data_gen_time:  34.4, train_time:  0.000613, data_load_time:  2.66e-07, total_eval_time:  40.8, test_score:  440, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 14. train_acc:  33.7, train_loss:  0.982, data_points:  5.4e+05, total_data_gen_time:  33.2, train_time:  0.000573, data_load_time:  2.64e-07, total_eval_time:  39.1, test_score:  2.33e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 15. train_acc:  34.1, train_loss:  0.97, data_points:  5.4e+05, total_data_gen_time:  33.3, train_time:  0.000568, data_load_time:  2.7e-07, total_eval_time:  4.12, test_score:  1.19e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 16. train_acc:  34.2, train_loss:  0.97, data_points:  5.4e+05, total_data_gen_time:  33.8, train_time:  0.000608, data_load_time:  2.65e-07, total_eval_time:  3.98, test_score:  1.32e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 17. train_acc:  34.2, train_loss:  0.969, data_points:  5.4e+05, total_data_gen_time:  32.9, train_time:  0.000557, data_load_time:  2.64e-07, total_eval_time:  2.82, test_score:  924, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 18. train_acc:  34.3, train_loss:  0.965, data_points:  5.4e+05, total_data_gen_time:  33, train_time:  0.000561, data_load_time:  2.6e-07, total_eval_time:  3.48, test_score:  1.23e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 19. train_acc:  34.6, train_loss:  0.96, data_points:  5.4e+05, total_data_gen_time:  33.3, train_time:  0.000615, data_load_time:  2.63e-07, total_eval_time:  3.3, test_score:  1.5e+03, best_score:  3.28e+03, current lr:  0.0001, 
