nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_045708-ooulay9s
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_pd
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/ooulay9s
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.01778
  PROB: 0.7374
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BreakoutNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: PD
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_pd
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, PD
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 1. train_acc:  55.2, train_loss:  0.852, data_points:  5.4e+04, total_data_gen_time:  80, train_time:  0.00273, data_load_time:  8.84e-07, total_eval_time:  0.81, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 2. train_acc:  55.8, train_loss:  0.808, data_points:  1.08e+05, total_data_gen_time:  81.1, train_time:  0.0029, data_load_time:  1.03e-06, total_eval_time:  0.808, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 3. train_acc:  56.4, train_loss:  0.802, data_points:  1.62e+05, total_data_gen_time:  81.6, train_time:  0.00305, data_load_time:  1.04e-06, total_eval_time:  0.789, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 4. train_acc:  57.1, train_loss:  0.79, data_points:  2.16e+05, total_data_gen_time:  81.5, train_time:  0.00306, data_load_time:  1.16e-06, total_eval_time:  0.82, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 5. train_acc:  58.4, train_loss:  0.764, data_points:  2.7e+05, total_data_gen_time:  82.2, train_time:  0.00298, data_load_time:  1.1e-06, total_eval_time:  0.797, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 6. train_acc:  59.8, train_loss:  0.738, data_points:  3.24e+05, total_data_gen_time:  81.4, train_time:  0.00285, data_load_time:  1.05e-06, total_eval_time:  0.81, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 7. train_acc:  60.4, train_loss:  0.715, data_points:  3.78e+05, total_data_gen_time:  81.9, train_time:  0.00284, data_load_time:  1.05e-06, total_eval_time:  0.827, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 8. train_acc:  61.4, train_loss:  0.686, data_points:  4.32e+05, total_data_gen_time:  81.9, train_time:  0.00291, data_load_time:  1.09e-06, total_eval_time:  0.83, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 9. train_acc:  62.5, train_loss:  0.661, data_points:  4.86e+05, total_data_gen_time:  82.7, train_time:  0.00297, data_load_time:  1.03e-06, total_eval_time:  1.21, test_score:  10, best_score:  10, current lr:  0.0001, 
Epoch 10. train_acc:  63.3, train_loss:  0.642, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.00293, data_load_time:  1.05e-06, total_eval_time:  1.92, test_score:  30, best_score:  30, current lr:  0.0001, 
Epoch 11. train_acc:  64.4, train_loss:  0.622, data_points:  5.4e+05, total_data_gen_time:  84, train_time:  0.00282, data_load_time:  9.65e-07, total_eval_time:  73.4, test_score:  2, best_score:  30, current lr:  0.0001, 
Epoch 12. train_acc:  65.3, train_loss:  0.602, data_points:  5.4e+05, total_data_gen_time:  82.7, train_time:  0.00301, data_load_time:  1.17e-06, total_eval_time:  0.85, test_score:  1, best_score:  30, current lr:  0.0001, 
Epoch 13. train_acc:  66, train_loss:  0.585, data_points:  5.4e+05, total_data_gen_time:  82, train_time:  0.00295, data_load_time:  9.7e-07, total_eval_time:  34.2, test_score:  2, best_score:  30, current lr:  0.0001, 
Epoch 14. train_acc:  66.8, train_loss:  0.567, data_points:  5.4e+05, total_data_gen_time:  84.8, train_time:  0.00303, data_load_time:  1.23e-06, total_eval_time:  68.2, test_score:  4, best_score:  30, current lr:  0.0001, 
Epoch 15. train_acc:  67.3, train_loss:  0.555, data_points:  5.4e+05, total_data_gen_time:  82.3, train_time:  0.00296, data_load_time:  9.87e-07, total_eval_time:  104, test_score:  24, best_score:  30, current lr:  0.0001, 
Epoch 16. train_acc:  68, train_loss:  0.539, data_points:  5.4e+05, total_data_gen_time:  84.8, train_time:  0.00294, data_load_time:  1.09e-06, total_eval_time:  35.2, test_score:  1, best_score:  30, current lr:  0.0001, 
Epoch 17. train_acc:  68.7, train_loss:  0.522, data_points:  5.4e+05, total_data_gen_time:  85.7, train_time:  0.00297, data_load_time:  1.1e-06, total_eval_time:  5.87, test_score:  171, best_score:  171, current lr:  0.0001, 
Epoch 18. train_acc:  69.5, train_loss:  0.507, data_points:  5.4e+05, total_data_gen_time:  84, train_time:  0.00305, data_load_time:  1.13e-06, total_eval_time:  2.92, test_score:  42, best_score:  171, current lr:  0.0001, 
Epoch 19. train_acc:  69.9, train_loss:  0.497, data_points:  5.4e+05, total_data_gen_time:  85.7, train_time:  0.0028, data_load_time:  8.82e-07, total_eval_time:  2, test_score:  23, best_score:  171, current lr:  0.0001, 
Epoch 20. train_acc:  70.6, train_loss:  0.483, data_points:  5.4e+05, total_data_gen_time:  86.6, train_time:  0.00284, data_load_time:  1.13e-06, total_eval_time:  3.88, test_score:  69, best_score:  171, current lr:  0.0001, 
Epoch 21. train_acc:  71.1, train_loss:  0.473, data_points:  5.4e+05, total_data_gen_time:  85.7, train_time:  0.00308, data_load_time:  1.13e-06, total_eval_time:  1.53, test_score:  15, best_score:  171, current lr:  0.0001, 
Epoch 22. train_acc:  71.5, train_loss:  0.462, data_points:  5.4e+05, total_data_gen_time:  84.1, train_time:  0.00293, data_load_time:  1.18e-06, total_eval_time:  152, test_score:  78, best_score:  171, current lr:  0.0001, 
Epoch 23. train_acc:  71.8, train_loss:  0.455, data_points:  5.4e+05, total_data_gen_time:  84.5, train_time:  0.003, data_load_time:  1.1e-06, total_eval_time:  3.31, test_score:  51, best_score:  171, current lr:  0.0001, 
Epoch 24. train_acc:  72.1, train_loss:  0.449, data_points:  5.4e+05, total_data_gen_time:  81.6, train_time:  0.00309, data_load_time:  1.12e-06, total_eval_time:  2.04, test_score:  27, best_score:  171, current lr:  0.0001, 
Epoch 25. train_acc:  72.5, train_loss:  0.444, data_points:  5.4e+05, total_data_gen_time:  82.4, train_time:  0.00319, data_load_time:  1.03e-06, total_eval_time:  3.88, test_score:  67, best_score:  171, current lr:  0.0001, 
Epoch 26. train_acc:  72.7, train_loss:  0.438, data_points:  5.4e+05, total_data_gen_time:  83.4, train_time:  0.00275, data_load_time:  9.98e-07, total_eval_time:  4.82, test_score:  96, best_score:  171, current lr:  0.0001, 
Epoch 27. train_acc:  72.9, train_loss:  0.435, data_points:  5.4e+05, total_data_gen_time:  82.7, train_time:  0.00283, data_load_time:  1.11e-06, total_eval_time:  4.15, test_score:  116, best_score:  171, current lr:  0.0001, 
Epoch 28. train_acc:  73.3, train_loss:  0.427, data_points:  5.4e+05, total_data_gen_time:  84.5, train_time:  0.00309, data_load_time:  1.1e-06, total_eval_time:  175, test_score:  29, best_score:  171, current lr:  0.0001, 
Epoch 29. train_acc:  73.6, train_loss:  0.42, data_points:  5.4e+05, total_data_gen_time:  83.7, train_time:  0.00285, data_load_time:  9.67e-07, total_eval_time:  107, test_score:  86, best_score:  171, current lr:  0.0001, 
Epoch 30. train_acc:  73.6, train_loss:  0.423, data_points:  5.4e+05, total_data_gen_time:  83.6, train_time:  0.00288, data_load_time:  1.01e-06, total_eval_time:  2.38, test_score:  37, best_score:  171, current lr:  0.0001, 
Epoch 31. train_acc:  73.5, train_loss:  0.424, data_points:  5.4e+05, total_data_gen_time:  87.5, train_time:  0.00283, data_load_time:  1.02e-06, total_eval_time:  7.5, test_score:  340, best_score:  340, current lr:  0.0001, 
Epoch 32. train_acc:  73.8, train_loss:  0.42, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.00306, data_load_time:  1.18e-06, total_eval_time:  179, test_score:  187, best_score:  340, current lr:  0.0001, 
Epoch 33. train_acc:  74, train_loss:  0.416, data_points:  5.4e+05, total_data_gen_time:  82.5, train_time:  0.0029, data_load_time:  1.05e-06, total_eval_time:  4.97, test_score:  87, best_score:  340, current lr:  0.0001, 
Epoch 34. train_acc:  74.1, train_loss:  0.414, data_points:  5.4e+05, total_data_gen_time:  85.2, train_time:  0.00301, data_load_time:  1.12e-06, total_eval_time:  2.11, test_score:  28, best_score:  340, current lr:  0.0001, 
Epoch 35. train_acc:  74.3, train_loss:  0.41, data_points:  5.4e+05, total_data_gen_time:  81.2, train_time:  0.00282, data_load_time:  1.03e-06, total_eval_time:  3.22, test_score:  61, best_score:  340, current lr:  0.0001, 
Epoch 36. train_acc:  74.3, train_loss:  0.409, data_points:  5.4e+05, total_data_gen_time:  81.9, train_time:  0.00303, data_load_time:  1.18e-06, total_eval_time:  105, test_score:  74, best_score:  340, current lr:  0.0001, 
Epoch 37. train_acc:  74.4, train_loss:  0.408, data_points:  5.4e+05, total_data_gen_time:  84, train_time:  0.00311, data_load_time:  1.07e-06, total_eval_time:  4.06, test_score:  150, best_score:  340, current lr:  0.0001, 
Epoch 38. train_acc:  74.3, train_loss:  0.409, data_points:  5.4e+05, total_data_gen_time:  81, train_time:  0.00307, data_load_time:  1.13e-06, total_eval_time:  74.3, test_score:  440, best_score:  440, current lr:  0.0001, 
Epoch 39. train_acc:  74.4, train_loss:  0.408, data_points:  5.4e+05, total_data_gen_time:  82.7, train_time:  0.00296, data_load_time:  1e-06, total_eval_time:  8.34, test_score:  342, best_score:  440, current lr:  0.0001, 
Epoch 40. train_acc:  74.6, train_loss:  0.403, data_points:  5.4e+05, total_data_gen_time:  81.6, train_time:  0.00311, data_load_time:  1.09e-06, total_eval_time:  74.6, test_score:  112, best_score:  440, current lr:  0.0001, 
Epoch 41. train_acc:  74.6, train_loss:  0.404, data_points:  5.4e+05, total_data_gen_time:  84.2, train_time:  0.00304, data_load_time:  1.13e-06, total_eval_time:  141, test_score:  218, best_score:  440, current lr:  0.0001, 
Epoch 42. train_acc:  74.7, train_loss:  0.399, data_points:  5.4e+05, total_data_gen_time:  85.6, train_time:  0.00282, data_load_time:  1.06e-06, total_eval_time:  38.6, test_score:  222, best_score:  440, current lr:  0.0001, 
Epoch 43. train_acc:  74.6, train_loss:  0.401, data_points:  5.4e+05, total_data_gen_time:  84.3, train_time:  0.00286, data_load_time:  9.81e-07, total_eval_time:  179, test_score:  1.12e+03, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 44. train_acc:  74.7, train_loss:  0.399, data_points:  5.4e+05, total_data_gen_time:  82.3, train_time:  0.00309, data_load_time:  1.17e-06, total_eval_time:  191, test_score:  274, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 45. train_acc:  74.6, train_loss:  0.399, data_points:  5.4e+05, total_data_gen_time:  84, train_time:  0.00292, data_load_time:  9.91e-07, total_eval_time:  39.5, test_score:  209, best_score:  1.12e+03, current lr:  0.0001, 
