nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250305_054859-0lras3xf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_00001_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/0lras3xf
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 1.0e-05
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_00001_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 1. train_acc:  15.7, train_loss:  1.29, data_points:  5.4e+04, total_data_gen_time:  59.8, train_time:  0.00274, data_load_time:  3.88e-07, total_eval_time:  121, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 2. train_acc:  18.4, train_loss:  1.14, data_points:  1.08e+05, total_data_gen_time:  60.1, train_time:  0.00259, data_load_time:  4.29e-07, total_eval_time:  124, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 3. train_acc:  23.1, train_loss:  1.12, data_points:  1.62e+05, total_data_gen_time:  59.9, train_time:  0.00269, data_load_time:  4.96e-07, total_eval_time:  6.08, test_score:  44, best_score:  44, current lr:  0.0001, 
Epoch 4. train_acc:  25.6, train_loss:  1.09, data_points:  2.16e+05, total_data_gen_time:  61, train_time:  0.00253, data_load_time:  4.61e-07, total_eval_time:  76.5, test_score:  792, best_score:  792, current lr:  0.0001, 
Epoch 5. train_acc:  29.3, train_loss:  1.04, data_points:  2.7e+05, total_data_gen_time:  59.6, train_time:  0.00292, data_load_time:  4.87e-07, total_eval_time:  7.04, test_score:  572, best_score:  792, current lr:  0.0001, 
Epoch 6. train_acc:  31.6, train_loss:  1.01, data_points:  3.24e+05, total_data_gen_time:  60.7, train_time:  0.00304, data_load_time:  4.7e-07, total_eval_time:  118, test_score:  3.5e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 7. train_acc:  33.2, train_loss:  0.986, data_points:  3.78e+05, total_data_gen_time:  60.6, train_time:  0.0031, data_load_time:  4.6e-07, total_eval_time:  6.7, test_score:  132, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 8. train_acc:  34.8, train_loss:  0.965, data_points:  4.32e+05, total_data_gen_time:  59.7, train_time:  0.00283, data_load_time:  5.08e-07, total_eval_time:  41.7, test_score:  2.39e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 9. train_acc:  36.1, train_loss:  0.94, data_points:  4.86e+05, total_data_gen_time:  80.7, train_time:  0.00288, data_load_time:  5.05e-07, total_eval_time:  134, test_score:  1.81e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 10. train_acc:  37, train_loss:  0.926, data_points:  5.4e+05, total_data_gen_time:  80.2, train_time:  0.00252, data_load_time:  4.64e-07, total_eval_time:  5.92, test_score:  1.23e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 11. train_acc:  37.8, train_loss:  0.915, data_points:  5.4e+05, total_data_gen_time:  60.1, train_time:  0.00283, data_load_time:  5.35e-07, total_eval_time:  107, test_score:  3.16e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 12. train_acc:  38.4, train_loss:  0.909, data_points:  5.4e+05, total_data_gen_time:  60.7, train_time:  0.0035, data_load_time:  6.17e-07, total_eval_time:  7.68, test_score:  660, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 13. train_acc:  38.9, train_loss:  0.902, data_points:  5.4e+05, total_data_gen_time:  79.4, train_time:  0.00344, data_load_time:  5.63e-07, total_eval_time:  140, test_score:  1.16e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 14. train_acc:  39.6, train_loss:  0.891, data_points:  5.4e+05, total_data_gen_time:  80.7, train_time:  0.00356, data_load_time:  6.02e-07, total_eval_time:  7.52, test_score:  1.23e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 15. train_acc:  40.1, train_loss:  0.882, data_points:  5.4e+05, total_data_gen_time:  80.7, train_time:  0.0034, data_load_time:  5.62e-07, total_eval_time:  167, test_score:  1.85e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 16. train_acc:  40.6, train_loss:  0.877, data_points:  5.4e+05, total_data_gen_time:  79.3, train_time:  0.00336, data_load_time:  5.74e-07, total_eval_time:  40.3, test_score:  1.41e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 17. train_acc:  40.8, train_loss:  0.875, data_points:  5.4e+05, total_data_gen_time:  80.7, train_time:  0.0036, data_load_time:  6.44e-07, total_eval_time:  40.2, test_score:  1.19e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 18. train_acc:  41.1, train_loss:  0.868, data_points:  5.4e+05, total_data_gen_time:  79.1, train_time:  0.00329, data_load_time:  5.59e-07, total_eval_time:  73.4, test_score:  2.47e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 19. train_acc:  41.4, train_loss:  0.861, data_points:  5.4e+05, total_data_gen_time:  80.6, train_time:  0.00355, data_load_time:  6.17e-07, total_eval_time:  40, test_score:  2.69e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 20. train_acc:  41.8, train_loss:  0.849, data_points:  5.4e+05, total_data_gen_time:  81.1, train_time:  0.00321, data_load_time:  5.87e-07, total_eval_time:  42.4, test_score:  1.23e+03, best_score:  3.5e+03, current lr:  0.0001, 
