nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250305_054833-u93sd8l5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_0001_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/u93sd8l5
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.0001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_0001_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 1. train_acc:  15.9, train_loss:  1.22, data_points:  5.4e+04, total_data_gen_time:  58, train_time:  0.00273, data_load_time:  4.79e-07, total_eval_time:  6.7, test_score:  660, best_score:  660, current lr:  0.0001, 
Epoch 2. train_acc:  20, train_loss:  1.15, data_points:  1.08e+05, total_data_gen_time:  60, train_time:  0.00255, data_load_time:  4.68e-07, total_eval_time:  5.15, test_score:  220, best_score:  660, current lr:  0.0001, 
Epoch 3. train_acc:  24.4, train_loss:  1.11, data_points:  1.62e+05, total_data_gen_time:  59.6, train_time:  0.00255, data_load_time:  4.62e-07, total_eval_time:  5.26, test_score:  44, best_score:  660, current lr:  0.0001, 
Epoch 4. train_acc:  27.9, train_loss:  1.07, data_points:  2.16e+05, total_data_gen_time:  60.3, train_time:  0.00264, data_load_time:  4.8e-07, total_eval_time:  6.59, test_score:  0, best_score:  660, current lr:  0.0001, 
Epoch 5. train_acc:  30.5, train_loss:  1.04, data_points:  2.7e+05, total_data_gen_time:  60.5, train_time:  0.00259, data_load_time:  4.73e-07, total_eval_time:  9.08, test_score:  792, best_score:  792, current lr:  0.0001, 
Epoch 6. train_acc:  32.3, train_loss:  1.01, data_points:  3.24e+05, total_data_gen_time:  59.6, train_time:  0.00294, data_load_time:  4.96e-07, total_eval_time:  7.86, test_score:  264, best_score:  792, current lr:  0.0001, 
Epoch 7. train_acc:  34, train_loss:  0.987, data_points:  3.78e+05, total_data_gen_time:  60.7, train_time:  0.00302, data_load_time:  5.55e-07, total_eval_time:  12.6, test_score:  1.89e+03, best_score:  1.89e+03, current lr:  0.0001, 
Epoch 8. train_acc:  35.2, train_loss:  0.966, data_points:  4.32e+05, total_data_gen_time:  78.6, train_time:  0.00294, data_load_time:  5.51e-07, total_eval_time:  165, test_score:  1.76e+03, best_score:  1.89e+03, current lr:  0.0001, 
Epoch 9. train_acc:  36.3, train_loss:  0.946, data_points:  4.86e+05, total_data_gen_time:  79.2, train_time:  0.00316, data_load_time:  5.86e-07, total_eval_time:  9.6, test_score:  440, best_score:  1.89e+03, current lr:  0.0001, 
Epoch 10. train_acc:  37.5, train_loss:  0.922, data_points:  5.4e+05, total_data_gen_time:  79.4, train_time:  0.00295, data_load_time:  5.05e-07, total_eval_time:  6.95, test_score:  2.66e+03, best_score:  2.66e+03, current lr:  0.0001, 
Epoch 11. train_acc:  38.6, train_loss:  0.909, data_points:  5.4e+05, total_data_gen_time:  71.1, train_time:  0.00324, data_load_time:  5.82e-07, total_eval_time:  38.4, test_score:  2.16e+03, best_score:  2.66e+03, current lr:  0.0001, 
