nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_022058-emjcbulv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/emjcbulv
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 1. train_acc:  16.3, train_loss:  1.27, data_points:  5.4e+04, total_data_gen_time:  59.9, train_time:  0.0029, data_load_time:  3.98e-07, total_eval_time:  7.99, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 2. train_acc:  21.8, train_loss:  1.15, data_points:  1.08e+05, total_data_gen_time:  61, train_time:  0.00266, data_load_time:  3.88e-07, total_eval_time:  6.27, test_score:  88, best_score:  88, current lr:  0.0001, 
Epoch 3. train_acc:  24.8, train_loss:  1.12, data_points:  1.62e+05, total_data_gen_time:  62.4, train_time:  0.00275, data_load_time:  4.37e-07, total_eval_time:  5.89, test_score:  44, best_score:  88, current lr:  0.0001, 
Epoch 4. train_acc:  27.6, train_loss:  1.08, data_points:  2.16e+05, total_data_gen_time:  60.4, train_time:  0.00284, data_load_time:  4.07e-07, total_eval_time:  7.11, test_score:  1.34e+03, best_score:  1.34e+03, current lr:  0.0001, 
Epoch 5. train_acc:  30.7, train_loss:  1.04, data_points:  2.7e+05, total_data_gen_time:  61.3, train_time:  0.00265, data_load_time:  4e-07, total_eval_time:  122, test_score:  1.19e+03, best_score:  1.34e+03, current lr:  0.0001, 
Epoch 6. train_acc:  33.1, train_loss:  1, data_points:  3.24e+05, total_data_gen_time:  62.7, train_time:  0.00266, data_load_time:  4.01e-07, total_eval_time:  9.4, test_score:  1.8e+03, best_score:  1.8e+03, current lr:  0.0001, 
Epoch 7. train_acc:  34.3, train_loss:  0.983, data_points:  3.78e+05, total_data_gen_time:  61, train_time:  0.00267, data_load_time:  4.19e-07, total_eval_time:  6.53, test_score:  572, best_score:  1.8e+03, current lr:  0.0001, 
Epoch 8. train_acc:  35.4, train_loss:  0.965, data_points:  4.32e+05, total_data_gen_time:  61.8, train_time:  0.00269, data_load_time:  4.31e-07, total_eval_time:  7, test_score:  792, best_score:  1.8e+03, current lr:  0.0001, 
Epoch 9. train_acc:  36.4, train_loss:  0.945, data_points:  4.86e+05, total_data_gen_time:  60.1, train_time:  0.00268, data_load_time:  3.98e-07, total_eval_time:  7.85, test_score:  2.64e+03, best_score:  2.64e+03, current lr:  0.0001, 
Epoch 10. train_acc:  37.5, train_loss:  0.928, data_points:  5.4e+05, total_data_gen_time:  60.9, train_time:  0.00274, data_load_time:  4.22e-07, total_eval_time:  6.78, test_score:  528, best_score:  2.64e+03, current lr:  0.0001, 
Epoch 11. train_acc:  38.5, train_loss:  0.912, data_points:  5.4e+05, total_data_gen_time:  60.6, train_time:  0.00354, data_load_time:  5.28e-07, total_eval_time:  14.8, test_score:  2.36e+03, best_score:  2.64e+03, current lr:  0.0001, 
Epoch 12. train_acc:  39.2, train_loss:  0.898, data_points:  5.4e+05, total_data_gen_time:  72.1, train_time:  0.00324, data_load_time:  4.95e-07, total_eval_time:  12.9, test_score:  3.09e+03, best_score:  3.09e+03, current lr:  0.0001, 
Epoch 13. train_acc:  40, train_loss:  0.884, data_points:  5.4e+05, total_data_gen_time:  61, train_time:  0.00291, data_load_time:  4.52e-07, total_eval_time:  8.26, test_score:  3.32e+03, best_score:  3.32e+03, current lr:  0.0001, 
Epoch 14. train_acc:  40.6, train_loss:  0.878, data_points:  5.4e+05, total_data_gen_time:  61.7, train_time:  0.00313, data_load_time:  5.39e-07, total_eval_time:  8.1, test_score:  968, best_score:  3.32e+03, current lr:  0.0001, 
Epoch 15. train_acc:  41.1, train_loss:  0.869, data_points:  5.4e+05, total_data_gen_time:  61, train_time:  0.00307, data_load_time:  4.27e-07, total_eval_time:  7.16, test_score:  2.16e+03, best_score:  3.32e+03, current lr:  0.0001, 
Epoch 16. train_acc:  41.5, train_loss:  0.861, data_points:  5.4e+05, total_data_gen_time:  60.2, train_time:  0.00303, data_load_time:  5.04e-07, total_eval_time:  10.3, test_score:  4.07e+03, best_score:  4.07e+03, current lr:  0.0001, 
Epoch 17. train_acc:  42, train_loss:  0.847, data_points:  5.4e+05, total_data_gen_time:  83.1, train_time:  0.0032, data_load_time:  5.2e-07, total_eval_time:  41.8, test_score:  2.98e+03, best_score:  4.07e+03, current lr:  0.0001, 
Epoch 18. train_acc:  42.5, train_loss:  0.837, data_points:  5.4e+05, total_data_gen_time:  83.8, train_time:  0.00313, data_load_time:  5.76e-07, total_eval_time:  44.2, test_score:  2.55e+03, best_score:  4.07e+03, current lr:  0.0001, 
Epoch 19. train_acc:  42.7, train_loss:  0.834, data_points:  5.4e+05, total_data_gen_time:  81, train_time:  0.0031, data_load_time:  5.34e-07, total_eval_time:  44.7, test_score:  4.99e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 20. train_acc:  43.1, train_loss:  0.828, data_points:  5.4e+05, total_data_gen_time:  82.6, train_time:  0.00358, data_load_time:  5.28e-07, total_eval_time:  54.4, test_score:  3.02e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 21. train_acc:  43.4, train_loss:  0.822, data_points:  5.4e+05, total_data_gen_time:  60.5, train_time:  0.00375, data_load_time:  6.06e-07, total_eval_time:  74.9, test_score:  3.81e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 22. train_acc:  43.6, train_loss:  0.82, data_points:  5.4e+05, total_data_gen_time:  82.2, train_time:  0.00337, data_load_time:  4.98e-07, total_eval_time:  8.16, test_score:  2.74e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 23. train_acc:  43.7, train_loss:  0.814, data_points:  5.4e+05, total_data_gen_time:  63.2, train_time:  0.00329, data_load_time:  4.87e-07, total_eval_time:  57.5, test_score:  1.8e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 24. train_acc:  44, train_loss:  0.806, data_points:  5.4e+05, total_data_gen_time:  61.1, train_time:  0.00321, data_load_time:  4.52e-07, total_eval_time:  6.98, test_score:  3.01e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 25. train_acc:  44.2, train_loss:  0.8, data_points:  5.4e+05, total_data_gen_time:  62.1, train_time:  0.00345, data_load_time:  4.99e-07, total_eval_time:  9.41, test_score:  1.32e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 26. train_acc:  44.3, train_loss:  0.797, data_points:  5.4e+05, total_data_gen_time:  80.9, train_time:  0.00331, data_load_time:  4.47e-07, total_eval_time:  7.44, test_score:  3.54e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 27. train_acc:  44.5, train_loss:  0.793, data_points:  5.4e+05, total_data_gen_time:  62.7, train_time:  0.00324, data_load_time:  5.13e-07, total_eval_time:  7.96, test_score:  3.26e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 28. train_acc:  44.7, train_loss:  0.79, data_points:  5.4e+05, total_data_gen_time:  63.7, train_time:  0.00329, data_load_time:  5.06e-07, total_eval_time:  8.99, test_score:  3.72e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 29. train_acc:  44.9, train_loss:  0.781, data_points:  5.4e+05, total_data_gen_time:  62.3, train_time:  0.00333, data_load_time:  4.61e-07, total_eval_time:  30.4, test_score:  2.16e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 30. train_acc:  45.1, train_loss:  0.777, data_points:  5.4e+05, total_data_gen_time:  60.7, train_time:  0.00288, data_load_time:  4.76e-07, total_eval_time:  8.48, test_score:  4.04e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 31. train_acc:  45.1, train_loss:  0.778, data_points:  5.4e+05, total_data_gen_time:  60.9, train_time:  0.00303, data_load_time:  5.28e-07, total_eval_time:  30.8, test_score:  2.83e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 32. train_acc:  45.1, train_loss:  0.776, data_points:  5.4e+05, total_data_gen_time:  61.6, train_time:  0.00326, data_load_time:  4.86e-07, total_eval_time:  33.3, test_score:  3.04e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 33. train_acc:  45.2, train_loss:  0.779, data_points:  5.4e+05, total_data_gen_time:  60.5, train_time:  0.00353, data_load_time:  5.21e-07, total_eval_time:  10.6, test_score:  3.55e+03, best_score:  4.99e+03, current lr:  0.0001, 
