nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_045746-4u8otik3
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_001_3
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/4u8otik3
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BreakoutNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_001_3
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 1. train_acc:  55, train_loss:  0.834, data_points:  5.4e+04, total_data_gen_time:  81.2, train_time:  0.0065, data_load_time:  8.96e-07, total_eval_time:  0.791, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 2. train_acc:  55.9, train_loss:  0.808, data_points:  1.08e+05, total_data_gen_time:  81.4, train_time:  0.00598, data_load_time:  8.68e-07, total_eval_time:  0.82, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 3. train_acc:  56.3, train_loss:  0.793, data_points:  1.62e+05, total_data_gen_time:  81.3, train_time:  0.006, data_load_time:  9.69e-07, total_eval_time:  0.811, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 4. train_acc:  58.5, train_loss:  0.755, data_points:  2.16e+05, total_data_gen_time:  82.7, train_time:  0.00539, data_load_time:  8.82e-07, total_eval_time:  0.804, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 5. train_acc:  59.6, train_loss:  0.736, data_points:  2.7e+05, total_data_gen_time:  82.3, train_time:  0.00591, data_load_time:  9.87e-07, total_eval_time:  0.823, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 6. train_acc:  59.9, train_loss:  0.727, data_points:  3.24e+05, total_data_gen_time:  81.6, train_time:  0.00581, data_load_time:  8.95e-07, total_eval_time:  0.785, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 7. train_acc:  60.2, train_loss:  0.717, data_points:  3.78e+05, total_data_gen_time:  82.8, train_time:  0.00582, data_load_time:  1.02e-06, total_eval_time:  0.789, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 8. train_acc:  60.8, train_loss:  0.698, data_points:  4.32e+05, total_data_gen_time:  83.7, train_time:  0.00575, data_load_time:  9.7e-07, total_eval_time:  0.783, test_score:  0, best_score:  0, current lr:  0.0001, 
Epoch 9. train_acc:  61.7, train_loss:  0.674, data_points:  4.86e+05, total_data_gen_time:  85.4, train_time:  0.00565, data_load_time:  9.51e-07, total_eval_time:  1.77, test_score:  40, best_score:  40, current lr:  0.0001, 
Epoch 10. train_acc:  62.5, train_loss:  0.65, data_points:  5.4e+05, total_data_gen_time:  82.6, train_time:  0.0056, data_load_time:  1.01e-06, total_eval_time:  0.82, test_score:  0, best_score:  40, current lr:  0.0001, 
Epoch 11. train_acc:  63.2, train_loss:  0.63, data_points:  5.4e+05, total_data_gen_time:  83.9, train_time:  0.00567, data_load_time:  9.75e-07, total_eval_time:  1.48, test_score:  11, best_score:  40, current lr:  0.0001, 
Epoch 12. train_acc:  64, train_loss:  0.614, data_points:  5.4e+05, total_data_gen_time:  81.8, train_time:  0.00566, data_load_time:  9.91e-07, total_eval_time:  1.49, test_score:  15, best_score:  40, current lr:  0.0001, 
Epoch 13. train_acc:  64.7, train_loss:  0.6, data_points:  5.4e+05, total_data_gen_time:  79.7, train_time:  0.00546, data_load_time:  8.92e-07, total_eval_time:  1.69, test_score:  36, best_score:  40, current lr:  0.0001, 
Epoch 14. train_acc:  65.3, train_loss:  0.59, data_points:  5.4e+05, total_data_gen_time:  82.6, train_time:  0.00577, data_load_time:  9.52e-07, total_eval_time:  71.2, test_score:  17, best_score:  40, current lr:  0.0001, 
Epoch 15. train_acc:  65.9, train_loss:  0.578, data_points:  5.4e+05, total_data_gen_time:  84.5, train_time:  0.00564, data_load_time:  1.04e-06, total_eval_time:  1.56, test_score:  18, best_score:  40, current lr:  0.0001, 
Epoch 16. train_acc:  66.5, train_loss:  0.565, data_points:  5.4e+05, total_data_gen_time:  83, train_time:  0.00568, data_load_time:  9.87e-07, total_eval_time:  2.53, test_score:  36, best_score:  40, current lr:  0.0001, 
Epoch 17. train_acc:  67.1, train_loss:  0.552, data_points:  5.4e+05, total_data_gen_time:  84.5, train_time:  0.00562, data_load_time:  9.76e-07, total_eval_time:  4.32, test_score:  103, best_score:  103, current lr:  0.0001, 
Epoch 18. train_acc:  67.8, train_loss:  0.539, data_points:  5.4e+05, total_data_gen_time:  106, train_time:  0.00614, data_load_time:  9.76e-07, total_eval_time:  70.7, test_score:  107, best_score:  107, current lr:  0.0001, 
Epoch 19. train_acc:  68.1, train_loss:  0.532, data_points:  5.4e+05, total_data_gen_time:  85.1, train_time:  0.00581, data_load_time:  1.02e-06, total_eval_time:  3.37, test_score:  66, best_score:  107, current lr:  0.0001, 
Epoch 20. train_acc:  68.7, train_loss:  0.52, data_points:  5.4e+05, total_data_gen_time:  85.5, train_time:  0.00562, data_load_time:  9.39e-07, total_eval_time:  104, test_score:  48, best_score:  107, current lr:  0.0001, 
Epoch 21. train_acc:  69.5, train_loss:  0.506, data_points:  5.4e+05, total_data_gen_time:  82.6, train_time:  0.00596, data_load_time:  1.02e-06, total_eval_time:  5.43, test_score:  127, best_score:  127, current lr:  0.0001, 
Epoch 22. train_acc:  70, train_loss:  0.496, data_points:  5.4e+05, total_data_gen_time:  83.1, train_time:  0.00555, data_load_time:  8.99e-07, total_eval_time:  3.54, test_score:  62, best_score:  127, current lr:  0.0001, 
Epoch 23. train_acc:  70.6, train_loss:  0.485, data_points:  5.4e+05, total_data_gen_time:  84.3, train_time:  0.00568, data_load_time:  9.53e-07, total_eval_time:  73.3, test_score:  102, best_score:  127, current lr:  0.0001, 
Epoch 24. train_acc:  70.9, train_loss:  0.478, data_points:  5.4e+05, total_data_gen_time:  81.4, train_time:  0.00565, data_load_time:  1.08e-06, total_eval_time:  37, test_score:  108, best_score:  127, current lr:  0.0001, 
Epoch 25. train_acc:  71.3, train_loss:  0.472, data_points:  5.4e+05, total_data_gen_time:  84.7, train_time:  0.00611, data_load_time:  1.02e-06, total_eval_time:  1.95, test_score:  34, best_score:  127, current lr:  0.0001, 
Epoch 26. train_acc:  71.7, train_loss:  0.463, data_points:  5.4e+05, total_data_gen_time:  82.7, train_time:  0.00577, data_load_time:  9.78e-07, total_eval_time:  72.1, test_score:  75, best_score:  127, current lr:  0.0001, 
Epoch 27. train_acc:  71.9, train_loss:  0.46, data_points:  5.4e+05, total_data_gen_time:  83.9, train_time:  0.00643, data_load_time:  1.01e-06, total_eval_time:  1.38, test_score:  12, best_score:  127, current lr:  0.0001, 
Epoch 28. train_acc:  72.2, train_loss:  0.454, data_points:  5.4e+05, total_data_gen_time:  82.8, train_time:  0.00667, data_load_time:  9.58e-07, total_eval_time:  5.4, test_score:  206, best_score:  206, current lr:  0.0001, 
Epoch 29. train_acc:  72.6, train_loss:  0.449, data_points:  5.4e+05, total_data_gen_time:  84.8, train_time:  0.00656, data_load_time:  9.02e-07, total_eval_time:  172, test_score:  125, best_score:  206, current lr:  0.0001, 
Epoch 30. train_acc:  72.8, train_loss:  0.444, data_points:  5.4e+05, total_data_gen_time:  83.1, train_time:  0.00608, data_load_time:  1.04e-06, total_eval_time:  5.42, test_score:  392, best_score:  392, current lr:  0.0001, 
Epoch 31. train_acc:  72.9, train_loss:  0.441, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.00587, data_load_time:  9.72e-07, total_eval_time:  110, test_score:  222, best_score:  392, current lr:  0.0001, 
Epoch 32. train_acc:  73, train_loss:  0.438, data_points:  5.4e+05, total_data_gen_time:  83.3, train_time:  0.00573, data_load_time:  1.02e-06, total_eval_time:  173, test_score:  114, best_score:  392, current lr:  0.0001, 
Epoch 33. train_acc:  73.2, train_loss:  0.436, data_points:  5.4e+05, total_data_gen_time:  83.7, train_time:  0.00585, data_load_time:  1.07e-06, total_eval_time:  152, test_score:  326, best_score:  392, current lr:  0.0001, 
Epoch 34. train_acc:  73.3, train_loss:  0.433, data_points:  5.4e+05, total_data_gen_time:  84.6, train_time:  0.00576, data_load_time:  9.89e-07, total_eval_time:  174, test_score:  641, best_score:  641, current lr:  0.0001, 
Epoch 35. train_acc:  73.3, train_loss:  0.433, data_points:  5.4e+05, total_data_gen_time:  82, train_time:  0.00604, data_load_time:  1.04e-06, total_eval_time:  148, test_score:  141, best_score:  641, current lr:  0.0001, 
Epoch 36. train_acc:  73.5, train_loss:  0.43, data_points:  5.4e+05, total_data_gen_time:  84.3, train_time:  0.00579, data_load_time:  9.89e-07, total_eval_time:  2.83, test_score:  53, best_score:  641, current lr:  0.0001, 
Epoch 37. train_acc:  73.8, train_loss:  0.426, data_points:  5.4e+05, total_data_gen_time:  84.3, train_time:  0.00578, data_load_time:  9.91e-07, total_eval_time:  7.05, test_score:  574, best_score:  641, current lr:  0.0001, 
Epoch 38. train_acc:  73.9, train_loss:  0.422, data_points:  5.4e+05, total_data_gen_time:  83, train_time:  0.00567, data_load_time:  9.78e-07, total_eval_time:  175, test_score:  77, best_score:  641, current lr:  0.0001, 
Epoch 39. train_acc:  74, train_loss:  0.419, data_points:  5.4e+05, total_data_gen_time:  83.5, train_time:  0.0055, data_load_time:  8.7e-07, total_eval_time:  146, test_score:  108, best_score:  641, current lr:  0.0001, 
Epoch 40. train_acc:  74.2, train_loss:  0.415, data_points:  5.4e+05, total_data_gen_time:  85.3, train_time:  0.00568, data_load_time:  9.2e-07, total_eval_time:  178, test_score:  55, best_score:  641, current lr:  0.0001, 
Epoch 41. train_acc:  74.3, train_loss:  0.412, data_points:  5.4e+05, total_data_gen_time:  85.9, train_time:  0.00565, data_load_time:  9.62e-07, total_eval_time:  180, test_score:  186, best_score:  641, current lr:  0.0001, 
Epoch 42. train_acc:  74.5, train_loss:  0.409, data_points:  5.4e+05, total_data_gen_time:  86.5, train_time:  0.00549, data_load_time:  9.99e-07, total_eval_time:  109, test_score:  93, best_score:  641, current lr:  0.0001, 
Epoch 43. train_acc:  74.7, train_loss:  0.405, data_points:  5.4e+05, total_data_gen_time:  83.9, train_time:  0.00543, data_load_time:  9.77e-07, total_eval_time:  5, test_score:  138, best_score:  641, current lr:  0.0001, 
Epoch 44. train_acc:  74.5, train_loss:  0.407, data_points:  5.4e+05, total_data_gen_time:  83.2, train_time:  0.00538, data_load_time:  9.14e-07, total_eval_time:  194, test_score:  190, best_score:  641, current lr:  0.0001, 
Epoch 45. train_acc:  74.7, train_loss:  0.403, data_points:  5.4e+05, total_data_gen_time:  87.6, train_time:  0.00506, data_load_time:  9.06e-07, total_eval_time:  178, test_score:  222, best_score:  641, current lr:  0.0001, 
Epoch 46. train_acc:  74.7, train_loss:  0.403, data_points:  5.4e+05, total_data_gen_time:  83.6, train_time:  0.0059, data_load_time:  9.06e-07, total_eval_time:  177, test_score:  86, best_score:  641, current lr:  0.0001, 
Epoch 47. train_acc:  74.6, train_loss:  0.403, data_points:  5.4e+05, total_data_gen_time:  85.3, train_time:  0.00553, data_load_time:  9.6e-07, total_eval_time:  6.23, test_score:  247, best_score:  641, current lr:  0.0001, 
Epoch 48. train_acc:  74.7, train_loss:  0.401, data_points:  5.4e+05, total_data_gen_time:  84.6, train_time:  0.00541, data_load_time:  9.83e-07, total_eval_time:  176, test_score:  248, best_score:  641, current lr:  0.0001, 
Epoch 49. train_acc:  74.9, train_loss:  0.396, data_points:  5.4e+05, total_data_gen_time:  85.2, train_time:  0.00528, data_load_time:  8.61e-07, total_eval_time:  142, test_score:  357, best_score:  641, current lr:  0.0001, 
Epoch 50. train_acc:  75, train_loss:  0.395, data_points:  5.4e+05, total_data_gen_time:  83.7, train_time:  0.00457, data_load_time:  8.53e-07, total_eval_time:  180, test_score:  44, best_score:  641, current lr:  0.0001, 
Epoch 51. train_acc:  75.1, train_loss:  0.391, data_points:  5.4e+05, total_data_gen_time:  83.3, train_time:  0.00456, data_load_time:  7.85e-07, total_eval_time:  181, test_score:  173, best_score:  641, current lr:  0.0001, 
Epoch 52. train_acc:  75.2, train_loss:  0.391, data_points:  5.4e+05, total_data_gen_time:  86.2, train_time:  0.00452, data_load_time:  7.83e-07, total_eval_time:  180, test_score:  494, best_score:  641, current lr:  0.0001, 
Epoch 53. train_acc:  75.1, train_loss:  0.392, data_points:  5.4e+05, total_data_gen_time:  83.4, train_time:  0.00594, data_load_time:  9.46e-07, total_eval_time:  109, test_score:  431, best_score:  641, current lr:  0.0001, 
Epoch 54. train_acc:  75.2, train_loss:  0.388, data_points:  5.4e+05, total_data_gen_time:  82.9, train_time:  0.00601, data_load_time:  1.1e-06, total_eval_time:  3.92, test_score:  65, best_score:  641, current lr:  0.0001, 
Epoch 55. train_acc:  75.6, train_loss:  0.381, data_points:  5.4e+05, total_data_gen_time:  83.5, train_time:  0.00494, data_load_time:  9.06e-07, total_eval_time:  196, test_score:  249, best_score:  641, current lr:  0.0001, 
