nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_034821-h13gwbcf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_mspacman
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/h13gwbcf
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: MsPacmanNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_mspacman
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 1. train_acc:  19.7, train_loss:  1.79, data_points:  5.4e+04, total_data_gen_time:  82.6, train_time:  0.0061, data_load_time:  1.02e-06, total_eval_time:  3.27, test_score:  350, best_score:  350, current lr:  0.0001, 
Epoch 2. train_acc:  27.6, train_loss:  1.6, data_points:  1.08e+05, total_data_gen_time:  84.9, train_time:  0.00589, data_load_time:  9.6e-07, total_eval_time:  3.18, test_score:  700, best_score:  700, current lr:  0.0001, 
Epoch 3. train_acc:  34.8, train_loss:  1.46, data_points:  1.62e+05, total_data_gen_time:  85.3, train_time:  0.00559, data_load_time:  9.77e-07, total_eval_time:  3.71, test_score:  6.91e+03, best_score:  6.91e+03, current lr:  0.0001, 
Epoch 4. train_acc:  40.2, train_loss:  1.33, data_points:  2.16e+05, total_data_gen_time:  85.4, train_time:  0.00572, data_load_time:  9.81e-07, total_eval_time:  3.6, test_score:  4.01e+03, best_score:  6.91e+03, current lr:  0.0001, 
Epoch 5. train_acc:  44.8, train_loss:  1.22, data_points:  2.7e+05, total_data_gen_time:  85, train_time:  0.00569, data_load_time:  1e-06, total_eval_time:  4.45, test_score:  4.01e+03, best_score:  6.91e+03, current lr:  0.0001, 
Epoch 6. train_acc:  48.2, train_loss:  1.13, data_points:  3.24e+05, total_data_gen_time:  85.1, train_time:  0.00598, data_load_time:  1.02e-06, total_eval_time:  4.13, test_score:  6.84e+03, best_score:  6.91e+03, current lr:  0.0001, 
Epoch 7. train_acc:  50.5, train_loss:  1.08, data_points:  3.78e+05, total_data_gen_time:  85.1, train_time:  0.00599, data_load_time:  1.04e-06, total_eval_time:  6.08, test_score:  1e+04, best_score:  1e+04, current lr:  0.0001, 
Epoch 8. train_acc:  52.1, train_loss:  1.04, data_points:  4.32e+05, total_data_gen_time:  85.2, train_time:  0.00555, data_load_time:  1.07e-06, total_eval_time:  5.03, test_score:  8.94e+03, best_score:  1e+04, current lr:  0.0001, 
Epoch 9. train_acc:  53.5, train_loss:  0.999, data_points:  4.86e+05, total_data_gen_time:  85.5, train_time:  0.00563, data_load_time:  1.01e-06, total_eval_time:  5.67, test_score:  9e+03, best_score:  1e+04, current lr:  0.0001, 
Epoch 10. train_acc:  54.5, train_loss:  0.973, data_points:  5.4e+05, total_data_gen_time:  84.2, train_time:  0.00567, data_load_time:  1.03e-06, total_eval_time:  6.06, test_score:  1.19e+04, best_score:  1.19e+04, current lr:  0.0001, 
Epoch 11. train_acc:  55.3, train_loss:  0.95, data_points:  5.4e+05, total_data_gen_time:  85.5, train_time:  0.00591, data_load_time:  1.07e-06, total_eval_time:  6.7, test_score:  1.28e+04, best_score:  1.28e+04, current lr:  0.0001, 
