nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/policy_distillation/src/wandb/run-20250304_054002-rhyduq17
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_spaceinvaders
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/rhyduq17
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: SpaceInvadersNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_spaceinvaders
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 1. train_acc:  26.6, train_loss:  1.46, data_points:  5.4e+04, total_data_gen_time:  84.5, train_time:  0.0052, data_load_time:  6.1e-07, total_eval_time:  5.23, test_score:  830, best_score:  830, current lr:  0.0001, 
Epoch 2. train_acc:  35.4, train_loss:  1.27, data_points:  1.08e+05, total_data_gen_time:  84.8, train_time:  0.00545, data_load_time:  6.76e-07, total_eval_time:  5.96, test_score:  815, best_score:  830, current lr:  0.0001, 
Epoch 3. train_acc:  40.1, train_loss:  1.18, data_points:  1.62e+05, total_data_gen_time:  84.8, train_time:  0.0052, data_load_time:  6.88e-07, total_eval_time:  2.99, test_score:  690, best_score:  830, current lr:  0.0001, 
Epoch 4. train_acc:  42.8, train_loss:  1.12, data_points:  2.16e+05, total_data_gen_time:  85.9, train_time:  0.00523, data_load_time:  6.87e-07, total_eval_time:  3.3, test_score:  525, best_score:  830, current lr:  0.0001, 
Epoch 5. train_acc:  44.7, train_loss:  1.08, data_points:  2.7e+05, total_data_gen_time:  84.9, train_time:  0.00527, data_load_time:  6.9e-07, total_eval_time:  5, test_score:  280, best_score:  830, current lr:  0.0001, 
Epoch 6. train_acc:  46.7, train_loss:  1.05, data_points:  3.24e+05, total_data_gen_time:  85, train_time:  0.00532, data_load_time:  7.1e-07, total_eval_time:  4.61, test_score:  645, best_score:  830, current lr:  0.0001, 
Epoch 7. train_acc:  48.7, train_loss:  1.02, data_points:  3.78e+05, total_data_gen_time:  85.2, train_time:  0.00518, data_load_time:  7.23e-07, total_eval_time:  4.24, test_score:  620, best_score:  830, current lr:  0.0001, 
Epoch 8. train_acc:  49.8, train_loss:  0.994, data_points:  4.32e+05, total_data_gen_time:  84.4, train_time:  0.00513, data_load_time:  6.9e-07, total_eval_time:  4.04, test_score:  1.22e+03, best_score:  1.22e+03, current lr:  0.0001, 
Epoch 9. train_acc:  50.6, train_loss:  0.977, data_points:  4.86e+05, total_data_gen_time:  85.6, train_time:  0.00521, data_load_time:  7.77e-07, total_eval_time:  4.03, test_score:  1.38e+03, best_score:  1.38e+03, current lr:  0.0001, 
Epoch 10. train_acc:  51.7, train_loss:  0.957, data_points:  5.4e+05, total_data_gen_time:  84.6, train_time:  0.00542, data_load_time:  7.62e-07, total_eval_time:  2.97, test_score:  690, best_score:  1.38e+03, current lr:  0.0001, 
Epoch 11. train_acc:  52.5, train_loss:  0.94, data_points:  5.4e+05, total_data_gen_time:  85.3, train_time:  0.00536, data_load_time:  7.49e-07, total_eval_time:  4.53, test_score:  885, best_score:  1.38e+03, current lr:  0.0001, 
