nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_034741-njuc4u8h
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_pd_mspacman
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/njuc4u8h
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.01778
  PROB: 0.7374
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: MsPacmanNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: PD
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_pd_mspacman
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, PD
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 1. train_acc:  18.5, train_loss:  1.84, data_points:  5.4e+04, total_data_gen_time:  80.9, train_time:  0.00349, data_load_time:  9.39e-07, total_eval_time:  3.27, test_score:  680, best_score:  680, current lr:  0.0001, 
Epoch 2. train_acc:  24.7, train_loss:  1.66, data_points:  1.08e+05, total_data_gen_time:  83.3, train_time:  0.00282, data_load_time:  9.19e-07, total_eval_time:  3.29, test_score:  350, best_score:  680, current lr:  0.0001, 
Epoch 3. train_acc:  31.7, train_loss:  1.52, data_points:  1.62e+05, total_data_gen_time:  83.8, train_time:  0.00291, data_load_time:  9.47e-07, total_eval_time:  3.29, test_score:  350, best_score:  680, current lr:  0.0001, 
Epoch 4. train_acc:  38.1, train_loss:  1.37, data_points:  2.16e+05, total_data_gen_time:  84.3, train_time:  0.00284, data_load_time:  1e-06, total_eval_time:  3.13, test_score:  1.3e+03, best_score:  1.3e+03, current lr:  0.0001, 
Epoch 5. train_acc:  43, train_loss:  1.26, data_points:  2.7e+05, total_data_gen_time:  84.4, train_time:  0.00288, data_load_time:  9.53e-07, total_eval_time:  4.24, test_score:  6.14e+03, best_score:  6.14e+03, current lr:  0.0001, 
Epoch 6. train_acc:  46.8, train_loss:  1.16, data_points:  3.24e+05, total_data_gen_time:  83.6, train_time:  0.00287, data_load_time:  1.06e-06, total_eval_time:  4.91, test_score:  8.84e+03, best_score:  8.84e+03, current lr:  0.0001, 
Epoch 7. train_acc:  49.5, train_loss:  1.09, data_points:  3.78e+05, total_data_gen_time:  84.3, train_time:  0.00297, data_load_time:  9.82e-07, total_eval_time:  3.48, test_score:  1.63e+03, best_score:  8.84e+03, current lr:  0.0001, 
Epoch 8. train_acc:  51.6, train_loss:  1.04, data_points:  4.32e+05, total_data_gen_time:  83.6, train_time:  0.00288, data_load_time:  9.41e-07, total_eval_time:  5.85, test_score:  1.04e+04, best_score:  1.04e+04, current lr:  0.0001, 
Epoch 9. train_acc:  53.2, train_loss:  1, data_points:  4.86e+05, total_data_gen_time:  84.8, train_time:  0.00292, data_load_time:  1.01e-06, total_eval_time:  3.7, test_score:  2.84e+03, best_score:  1.04e+04, current lr:  0.0001, 
Epoch 10. train_acc:  54.3, train_loss:  0.973, data_points:  5.4e+05, total_data_gen_time:  83.8, train_time:  0.00284, data_load_time:  9.97e-07, total_eval_time:  6.52, test_score:  1.02e+04, best_score:  1.04e+04, current lr:  0.0001, 
Epoch 11. train_acc:  55.5, train_loss:  0.943, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00307, data_load_time:  1.09e-06, total_eval_time:  7.75, test_score:  1.12e+04, best_score:  1.12e+04, current lr:  0.0001, 
Epoch 12. train_acc:  56.2, train_loss:  0.925, data_points:  5.4e+05, total_data_gen_time:  104, train_time:  0.00306, data_load_time:  1e-06, total_eval_time:  5.34, test_score:  1.01e+04, best_score:  1.12e+04, current lr:  0.0001, 
Epoch 13. train_acc:  56.9, train_loss:  0.911, data_points:  5.4e+05, total_data_gen_time:  83.7, train_time:  0.00292, data_load_time:  9.47e-07, total_eval_time:  7.09, test_score:  1.13e+04, best_score:  1.13e+04, current lr:  0.0001, 
Epoch 14. train_acc:  57.4, train_loss:  0.896, data_points:  5.4e+05, total_data_gen_time:  84.5, train_time:  0.00291, data_load_time:  1.03e-06, total_eval_time:  5.83, test_score:  1e+04, best_score:  1.13e+04, current lr:  0.0001, 
Epoch 15. train_acc:  58.2, train_loss:  0.879, data_points:  5.4e+05, total_data_gen_time:  81.8, train_time:  0.00301, data_load_time:  9.97e-07, total_eval_time:  6.32, test_score:  9.75e+03, best_score:  1.13e+04, current lr:  0.0001, 
Epoch 16. train_acc:  58.4, train_loss:  0.873, data_points:  5.4e+05, total_data_gen_time:  83.7, train_time:  0.00295, data_load_time:  9.89e-07, total_eval_time:  5.67, test_score:  1.12e+04, best_score:  1.13e+04, current lr:  0.0001, 
Epoch 17. train_acc:  59, train_loss:  0.863, data_points:  5.4e+05, total_data_gen_time:  85.8, train_time:  0.00296, data_load_time:  9.99e-07, total_eval_time:  5.7, test_score:  1.02e+04, best_score:  1.13e+04, current lr:  0.0001, 
Epoch 18. train_acc:  59.3, train_loss:  0.851, data_points:  5.4e+05, total_data_gen_time:  83.2, train_time:  0.00295, data_load_time:  1.09e-06, total_eval_time:  6.15, test_score:  1.14e+04, best_score:  1.14e+04, current lr:  0.0001, 
Epoch 19. train_acc:  59.5, train_loss:  0.844, data_points:  5.4e+05, total_data_gen_time:  83.3, train_time:  0.003, data_load_time:  1.01e-06, total_eval_time:  6.47, test_score:  1.09e+04, best_score:  1.14e+04, current lr:  0.0001, 
Epoch 20. train_acc:  59.9, train_loss:  0.836, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00286, data_load_time:  1.02e-06, total_eval_time:  5.28, test_score:  1.01e+04, best_score:  1.14e+04, current lr:  0.0001, 
Epoch 21. train_acc:  60.3, train_loss:  0.828, data_points:  5.4e+05, total_data_gen_time:  83.7, train_time:  0.00287, data_load_time:  1.01e-06, total_eval_time:  5.92, test_score:  1.08e+04, best_score:  1.14e+04, current lr:  0.0001, 
Epoch 22. train_acc:  60.5, train_loss:  0.822, data_points:  5.4e+05, total_data_gen_time:  100, train_time:  0.00303, data_load_time:  9.91e-07, total_eval_time:  6.7, test_score:  1e+04, best_score:  1.14e+04, current lr:  0.0001, 
Epoch 23. train_acc:  60.5, train_loss:  0.817, data_points:  5.4e+05, total_data_gen_time:  101, train_time:  0.00299, data_load_time:  1.01e-06, total_eval_time:  7.64, test_score:  1.23e+04, best_score:  1.23e+04, current lr:  0.0001, 
Epoch 24. train_acc:  60.7, train_loss:  0.814, data_points:  5.4e+05, total_data_gen_time:  101, train_time:  0.00318, data_load_time:  1.1e-06, total_eval_time:  8.3, test_score:  1.14e+04, best_score:  1.23e+04, current lr:  0.0001, 
Epoch 25. train_acc:  60.9, train_loss:  0.803, data_points:  5.4e+05, total_data_gen_time:  103, train_time:  0.00294, data_load_time:  9.72e-07, total_eval_time:  6.92, test_score:  1.07e+04, best_score:  1.23e+04, current lr:  0.0001, 
