nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/policy_distillation/src/wandb/run-20250304_053943-u69mzvbi
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_pd_spaceinvaders
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/u69mzvbi
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.01778
  PROB: 0.7374
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: SpaceInvadersNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: PD
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_pd_spaceinvaders
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, PD
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 1. train_acc:  25.4, train_loss:  1.48, data_points:  5.4e+04, total_data_gen_time:  85.3, train_time:  0.00269, data_load_time:  6.48e-07, total_eval_time:  5.5, test_score:  905, best_score:  905, current lr:  0.0001, 
Epoch 2. train_acc:  34.3, train_loss:  1.28, data_points:  1.08e+05, total_data_gen_time:  84.8, train_time:  0.00266, data_load_time:  6.8e-07, total_eval_time:  5.05, test_score:  1.43e+03, best_score:  1.43e+03, current lr:  0.0001, 
Epoch 3. train_acc:  39.1, train_loss:  1.2, data_points:  1.62e+05, total_data_gen_time:  85.2, train_time:  0.00255, data_load_time:  6.84e-07, total_eval_time:  4.53, test_score:  1.12e+03, best_score:  1.43e+03, current lr:  0.0001, 
Epoch 4. train_acc:  41.9, train_loss:  1.15, data_points:  2.16e+05, total_data_gen_time:  85.1, train_time:  0.00261, data_load_time:  6.84e-07, total_eval_time:  3.98, test_score:  630, best_score:  1.43e+03, current lr:  0.0001, 
Epoch 5. train_acc:  44, train_loss:  1.1, data_points:  2.7e+05, total_data_gen_time:  85.6, train_time:  0.0027, data_load_time:  6.53e-07, total_eval_time:  5.12, test_score:  1.27e+03, best_score:  1.43e+03, current lr:  0.0001, 
Epoch 6. train_acc:  45.6, train_loss:  1.07, data_points:  3.24e+05, total_data_gen_time:  84.9, train_time:  0.00264, data_load_time:  7.85e-07, total_eval_time:  4.58, test_score:  600, best_score:  1.43e+03, current lr:  0.0001, 
Epoch 7. train_acc:  47.3, train_loss:  1.04, data_points:  3.78e+05, total_data_gen_time:  85.6, train_time:  0.00266, data_load_time:  7.61e-07, total_eval_time:  5.46, test_score:  1.87e+03, best_score:  1.87e+03, current lr:  0.0001, 
Epoch 8. train_acc:  48.5, train_loss:  1.02, data_points:  4.32e+05, total_data_gen_time:  86.3, train_time:  0.0025, data_load_time:  7.85e-07, total_eval_time:  4.48, test_score:  600, best_score:  1.87e+03, current lr:  0.0001, 
Epoch 9. train_acc:  50, train_loss:  0.99, data_points:  4.86e+05, total_data_gen_time:  85.5, train_time:  0.00257, data_load_time:  7.58e-07, total_eval_time:  5.62, test_score:  2.1e+03, best_score:  2.1e+03, current lr:  0.0001, 
Epoch 10. train_acc:  51.1, train_loss:  0.966, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00263, data_load_time:  7.74e-07, total_eval_time:  3.75, test_score:  880, best_score:  2.1e+03, current lr:  0.0001, 
Epoch 11. train_acc:  52.1, train_loss:  0.946, data_points:  5.4e+05, total_data_gen_time:  85.8, train_time:  0.00271, data_load_time:  7.2e-07, total_eval_time:  3.27, test_score:  830, best_score:  2.1e+03, current lr:  0.0001, 
Epoch 12. train_acc:  53.1, train_loss:  0.927, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.00265, data_load_time:  6.66e-07, total_eval_time:  4.26, test_score:  850, best_score:  2.1e+03, current lr:  0.0001, 
Epoch 13. train_acc:  53.8, train_loss:  0.911, data_points:  5.4e+05, total_data_gen_time:  84.7, train_time:  0.00256, data_load_time:  6.82e-07, total_eval_time:  3.53, test_score:  985, best_score:  2.1e+03, current lr:  0.0001, 
Epoch 14. train_acc:  54.4, train_loss:  0.9, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.00261, data_load_time:  6.78e-07, total_eval_time:  4.49, test_score:  905, best_score:  2.1e+03, current lr:  0.0001, 
Epoch 15. train_acc:  54.9, train_loss:  0.889, data_points:  5.4e+05, total_data_gen_time:  84.8, train_time:  0.00264, data_load_time:  7.07e-07, total_eval_time:  3.6, test_score:  855, best_score:  2.1e+03, current lr:  0.0001, 
Epoch 16. train_acc:  55.4, train_loss:  0.88, data_points:  5.4e+05, total_data_gen_time:  84.9, train_time:  0.00258, data_load_time:  7.22e-07, total_eval_time:  4.26, test_score:  1.6e+03, best_score:  2.1e+03, current lr:  0.0001, 
Epoch 17. train_acc:  55.8, train_loss:  0.873, data_points:  5.4e+05, total_data_gen_time:  89.6, train_time:  0.00256, data_load_time:  7.36e-07, total_eval_time:  3.85, test_score:  1.78e+03, best_score:  2.1e+03, current lr:  0.0001, 
Epoch 18. train_acc:  56.2, train_loss:  0.864, data_points:  5.4e+05, total_data_gen_time:  84.9, train_time:  0.00264, data_load_time:  7.18e-07, total_eval_time:  3.32, test_score:  655, best_score:  2.1e+03, current lr:  0.0001, 
Epoch 19. train_acc:  56.4, train_loss:  0.858, data_points:  5.4e+05, total_data_gen_time:  86.8, train_time:  0.00268, data_load_time:  7.28e-07, total_eval_time:  5.9, test_score:  2.38e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 20. train_acc:  56.7, train_loss:  0.851, data_points:  5.4e+05, total_data_gen_time:  85.3, train_time:  0.0027, data_load_time:  7.39e-07, total_eval_time:  4.92, test_score:  790, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 21. train_acc:  56.8, train_loss:  0.846, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.00248, data_load_time:  6.66e-07, total_eval_time:  4.03, test_score:  855, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 22. train_acc:  57, train_loss:  0.843, data_points:  5.4e+05, total_data_gen_time:  86.8, train_time:  0.00259, data_load_time:  7.05e-07, total_eval_time:  5.12, test_score:  1.76e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 23. train_acc:  57.3, train_loss:  0.839, data_points:  5.4e+05, total_data_gen_time:  86, train_time:  0.0027, data_load_time:  7.65e-07, total_eval_time:  4.37, test_score:  960, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 24. train_acc:  57.6, train_loss:  0.834, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.0026, data_load_time:  7.57e-07, total_eval_time:  5.19, test_score:  1.39e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 25. train_acc:  57.7, train_loss:  0.832, data_points:  5.4e+05, total_data_gen_time:  85.3, train_time:  0.00266, data_load_time:  7.82e-07, total_eval_time:  4.36, test_score:  1.38e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 26. train_acc:  57.8, train_loss:  0.827, data_points:  5.4e+05, total_data_gen_time:  86.4, train_time:  0.00262, data_load_time:  7.38e-07, total_eval_time:  5.16, test_score:  1.3e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 27. train_acc:  58, train_loss:  0.822, data_points:  5.4e+05, total_data_gen_time:  84.4, train_time:  0.00261, data_load_time:  8.37e-07, total_eval_time:  4.07, test_score:  960, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 28. train_acc:  58.1, train_loss:  0.82, data_points:  5.4e+05, total_data_gen_time:  86.3, train_time:  0.00271, data_load_time:  7.13e-07, total_eval_time:  4.35, test_score:  1.66e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 29. train_acc:  58.1, train_loss:  0.821, data_points:  5.4e+05, total_data_gen_time:  85.6, train_time:  0.00271, data_load_time:  7.08e-07, total_eval_time:  5.75, test_score:  1.36e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 30. train_acc:  58.4, train_loss:  0.817, data_points:  5.4e+05, total_data_gen_time:  85.5, train_time:  0.00263, data_load_time:  7.04e-07, total_eval_time:  4.22, test_score:  1.25e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 31. train_acc:  58.4, train_loss:  0.816, data_points:  5.4e+05, total_data_gen_time:  86.6, train_time:  0.00263, data_load_time:  7.86e-07, total_eval_time:  4.37, test_score:  1.8e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 32. train_acc:  58.5, train_loss:  0.814, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00265, data_load_time:  7.59e-07, total_eval_time:  5.24, test_score:  885, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 33. train_acc:  58.7, train_loss:  0.809, data_points:  5.4e+05, total_data_gen_time:  86.9, train_time:  0.00262, data_load_time:  7.82e-07, total_eval_time:  6.62, test_score:  1.76e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 34. train_acc:  58.7, train_loss:  0.809, data_points:  5.4e+05, total_data_gen_time:  88.6, train_time:  0.00263, data_load_time:  8.09e-07, total_eval_time:  4.14, test_score:  1.36e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 35. train_acc:  58.8, train_loss:  0.806, data_points:  5.4e+05, total_data_gen_time:  85.1, train_time:  0.0026, data_load_time:  7.69e-07, total_eval_time:  4.81, test_score:  2.07e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 36. train_acc:  58.8, train_loss:  0.804, data_points:  5.4e+05, total_data_gen_time:  84.7, train_time:  0.00257, data_load_time:  7.14e-07, total_eval_time:  3.96, test_score:  1.44e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 37. train_acc:  58.9, train_loss:  0.803, data_points:  5.4e+05, total_data_gen_time:  87, train_time:  0.00262, data_load_time:  7.63e-07, total_eval_time:  4.29, test_score:  1.64e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 38. train_acc:  59, train_loss:  0.802, data_points:  5.4e+05, total_data_gen_time:  86.4, train_time:  0.00268, data_load_time:  7.7e-07, total_eval_time:  6.11, test_score:  2.14e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 39. train_acc:  59.1, train_loss:  0.798, data_points:  5.4e+05, total_data_gen_time:  85.6, train_time:  0.00275, data_load_time:  7.9e-07, total_eval_time:  3.51, test_score:  870, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 40. train_acc:  59.1, train_loss:  0.797, data_points:  5.4e+05, total_data_gen_time:  85.9, train_time:  0.0027, data_load_time:  7.39e-07, total_eval_time:  3.91, test_score:  1.26e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 41. train_acc:  59.3, train_loss:  0.795, data_points:  5.4e+05, total_data_gen_time:  85.2, train_time:  0.00274, data_load_time:  8.1e-07, total_eval_time:  4.45, test_score:  1.52e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 42. train_acc:  59.5, train_loss:  0.789, data_points:  5.4e+05, total_data_gen_time:  85.8, train_time:  0.00272, data_load_time:  7.63e-07, total_eval_time:  4.06, test_score:  1.41e+03, best_score:  2.38e+03, current lr:  0.0001, 
Epoch 43. train_acc:  59.4, train_loss:  0.789, data_points:  5.4e+05, total_data_gen_time:  86.4, train_time:  0.00263, data_load_time:  7.57e-07, total_eval_time:  6.27, test_score:  2.5e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 44. train_acc:  59.6, train_loss:  0.787, data_points:  5.4e+05, total_data_gen_time:  84.9, train_time:  0.00268, data_load_time:  7.01e-07, total_eval_time:  6.5, test_score:  2.84e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 45. train_acc:  59.6, train_loss:  0.787, data_points:  5.4e+05, total_data_gen_time:  86.2, train_time:  0.00273, data_load_time:  7.92e-07, total_eval_time:  5.37, test_score:  1.3e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 46. train_acc:  59.7, train_loss:  0.786, data_points:  5.4e+05, total_data_gen_time:  86.3, train_time:  0.0027, data_load_time:  6.69e-07, total_eval_time:  6.03, test_score:  1.82e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 47. train_acc:  59.8, train_loss:  0.785, data_points:  5.4e+05, total_data_gen_time:  86.5, train_time:  0.0027, data_load_time:  7.94e-07, total_eval_time:  3.78, test_score:  1.38e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 48. train_acc:  59.8, train_loss:  0.782, data_points:  5.4e+05, total_data_gen_time:  87.1, train_time:  0.00271, data_load_time:  7.68e-07, total_eval_time:  5.15, test_score:  1.94e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 49. train_acc:  59.9, train_loss:  0.781, data_points:  5.4e+05, total_data_gen_time:  86.3, train_time:  0.00271, data_load_time:  6.89e-07, total_eval_time:  3.73, test_score:  930, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 50. train_acc:  60, train_loss:  0.779, data_points:  5.4e+05, total_data_gen_time:  85.9, train_time:  0.00263, data_load_time:  6.92e-07, total_eval_time:  5.06, test_score:  1.81e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 51. train_acc:  60.2, train_loss:  0.776, data_points:  5.4e+05, total_data_gen_time:  85.6, train_time:  0.00261, data_load_time:  7.23e-07, total_eval_time:  5.9, test_score:  2.37e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 52. train_acc:  60.2, train_loss:  0.775, data_points:  5.4e+05, total_data_gen_time:  89.9, train_time:  0.00272, data_load_time:  7.88e-07, total_eval_time:  4.84, test_score:  1.84e+03, best_score:  2.84e+03, current lr:  0.0001, 
